Article Title,Author,Journal Title,International,Subjects,Keywords,text
Building a European Financial Market Union: A Case of Functional Spillover.,,Zeitschrift für Internationale Beziehungen (ZIB),1,"ECONOMIC & Monetary Union; GLOBAL Financial Crisis, 2008-2009",banking supervision; economic and monetary union; financial crisis; functional spillover; neofunctionalism,"Weaknesses in the design of the Economic and Monetary Union (EMU) have surfaced in the wake of the financial crisis and have led to a deepening of European integration. Relatively rapid and notable integration steps have taken place in response to the crisis in order to address among others vulnerabilities in the banking system and in the public finances of EU member states. In some cases, the need for action was particularly urgent as member states became entrenched in a vicious sovereign-bank nexus endangering financial stability in EMU. In the area of financial supervision in particular, national authorities within an incomplete European framework proved ill equipped to respond to the evolving crisis. The initial remedial action taken was later supplemented by deeper institutional reforms leading to an increased level of integration. This paper provides an explanation of these developments from a neo-functionalist perspective, and identifies in particular the concept of functional spillover as a driver in this process. The crisis amplified functional spillovers between the different policy areas under EMU. It provided the trigger for the manifestation of underlying functional pressures leading to deeper integration. We conclude that until such functional pressures adequately subside, this process can be expected to yield further integration steps."
Cambio climático y pobrera en el Distrito Federal.,"Sanchez Vargas, Armando; Gay García, Carlos; Estrada Porrua, Francisco",Investigación Económica,1,MEXICO City (Mexico); CLIMATE change,climatic change; Mexico City; microeconomic impacts; poverty; cambio climático; ciudad de México; impactos microeconómicos; pobreza,"An abstract of the article ""Cambio climático y pobrera en el Distrito Federal"" (Climate Change and Poverty in Mexico City) by Armando Sánchez Vargas, Carlos Gay García, and Francisco Estrada Porrua is presented."
Candidates in a negative light. The 2013 Italian election campaign in the media.,"Bobba, Giuliano; Legnante, Guido; Roncarolo, Franca; Seddone, Antonella",Rivista Italiana di Scienza Politica,1,POLITICAL candidates; ELECTIONS; POLITICAL campaigns; ITALY,Election campaign; Information environment; Negativity; Political communication; Political leadership,"This article investigates the relationship between politics, media and public opinion, during the 2013 Italian general election. News coverage on TV and national daily press are analysed in relation to voters' opinions. Considering the last 40 days before the election, three aspects are explored: (a) the specific features of the 2013 election campaign; (b) the tone of coverage of the candidates campaign on newscasts (Tg1, Tg5, La7 and SkyTg24 evening news) and daily press («Corriere della Sera», «la Repubblica», «La Stampa», «Il Giornale»); (c) the trends in leaders evaluation across the campaign. Taking public opinion data from the Itanes surveys and combining them with a content analysis of the newspapers and television newscasts, this research aims at assessing the (in)congruence between media coverage and voters' attitudes."
Candy as Memory Catalyst.,"Vince, Laima",Lituanus,1,PSYCHOLOGY; CANDY; MEMORY -- Social aspects,,"An abstract of the article ""Candy as Memory Catalyst,"" by Laima Vince is presented."
"CARING, TEMPORALITY AND AGENCY: AN ANALYTIC AND A CONTINENTAL VIEW.","WÁGNER, ZOLTÁN",Filozofia,1,"AGENT (Philosophy); HEIDEGGER, Martin, 1889-1976",agency; caring; Harry G. Frankfurt; Martin Heidegger; temporality,"There is a striking similarity between the philosophy of Martin Heidegger and Harry G. Frankfurt: they both argue that the temporal nature of human existence and agency is due to the fact that humans care about things. Even though Heidegger's concept of care and Frankfurt's concept of caring are very different, they are worth comparing because they play a similar role and have similar significance in their thinking. This comparison also offers an opportunity for a desired dialogue between philosophers working in those two different traditions. I argue that the two views can complement each other: Though Frankfurt provides a detailed psychological description of caring, his concept of caring is too mentalistic and leads to solipsism. Thus, his theory can be enriched with the help of Heidegger's view based on the concept of Being-in-the-world."
Challenges in Teacher Training for the Use of Information and Communication Technologies in the Teaching and Learning of the English Language.,,Revista da FAEEBA - Educacao e Contemporaneidade,1,TEACHER training,Construcionism; English language; Information communication technolo-gies; Teacher training; Construcionismo; Formação do professor; Língua inglesa; Tecnologias da infomiação e comunicação,"An abstract of the article ""Challenges in Teacher Training for the Use of Information and Communication Technologies in the Teaching and Learning of the English Language,"" is presented."
Characteristics and development of a distinct suburban governance: The case of the elite suburbs of Montreal (1880-1939).,"BÉRUBÉ, Harold",Recherches sociographiques,1,MUNICIPAL government; SUBURBS; MONTREAL (Quebec); CANADA; QUEBEC (Province) -- Politics & government,democracy; elections; elites; governance; Montreal; suburbs,An abstract of the article “Characteristics and development of a distinct suburban governance: The case of the elite suburbs of Montreal (1880-1939)” by Harold Bérubé is presented.
Children's Drawing in the Pedagogical Practices of Elementary School Teachers: from expe-riences to valuation. Masters Thesis.,,Revista da FAEEBA - Educacao e Contemporaneidade,1,EDUCATION,Autobiographical narratives; Drawing children; Education; Imaginary; Dese-nho infantil; Educação; Imaginário; Narrativas autobiográficas,"An abstract of the article ""Children's Drawing in the Pedagogical Practices of Elementary School Teachers: from expe-riences to valuation"" is presented."
"China's exports, export tax rebates and exchange rate policy.","Xu, Zhenhui",World Economy,0,EXPORTS; EXPORT duties; TAX rebates; FOREIGN exchange rates -- Government policy; FOREIGN exchange rates; CHINA,China; exchange rates; export tax rebates; exports; external imbalance,"Abstract: This paper examines the relationship between China's exports, export tax rebates and exchange rate policy. It offers an explanation for why China's exports continued to rise under RMB real appreciations during the Asian financial crisis. Based on a traditional export demand model, we test our hypothesis that the counteracting effects of China's export tax rebate policy have diminished the effectiveness of real exchange rates in facilitating the resolution of trade imbalances under the current pegged exchange rate regime. We find evidence that RMB real appreciations during the crisis negatively affected China's exports, but the negative effects were mitigated by the positive effects of export tax rebates. We also find evidence of a long‐run relationship between China's exports and the other explanatory variables. The empirical evidence suggests that under the pegged exchange rate regime with limited adjustments, real exchange rate movements alone cannot resolve China's external imbalances. The policy implication of this study is that China needs to redirect its decades‐long export‐oriented development strategy to one that emphasises domestic demand‐oriented development and to replace the current pegged exchange rate regime with a market‐oriented more flexible exchange rate regime."
Choques macroeconómicos en la agricultura. Alguna evidencia para la economía argentina.,"Lanteri, Luis N.",Investigación Económica,1,AGRICULTURE -- Argentina; SHOCK (Economics),macroeconomic shocks; productivity; real agricultural Gross Domestic Product; Structural Vector Error Correction model (SVEC); choques macroeconómicos; modelo de corrección de error vectorial estructural (SVEC); productividad; producto interno bruto agropecuario real,"An abstract of the article ""Choques macroeconómicos en la agricultura. Alguna evidencia para la economía argentina"" (Macroeconomic Shocks on Agriculture. Some Evidence for the Argentina's Economy) by Luis N. Lanteri is presented on agricultural productivity in Argentina."
Chronicle of a Decline Foretold: Mexican Cultural Diplomacy During the Felipe Calderón Administration.,"VILLANUEVA RIVAS, CÉSAR",Foro Internacional,1,"CULTURAL diplomacy; MEXICO -- Foreign relations -- 2000-; CALDERON Hinojosa, Felipe, 1962-",country image; cultural cooperation; cultural diplomacy; public diplomacy; cooperación cultural; diplomacia cultural; diplomacia pública; imagen país; coopération culturelle; diplomatie culturelle; diplomatie publique; image d'un pays,"This paper analyzes the administrative transformation of the Department of Cultural Affairs, freedom of expression, the year of Mexico in France, the image of Mexico in the world and the closure of Mexico's diplomatic mission to unesco. During this administration, cultural diplomacy waned and lost its institutional standing. Efforts to counteract the deteriorating image of Mexico abroad through cultural diplomacy lacked the financial resources necessary to expand their activities and, combined with a series of poor decisions and circumstantial events, the cultural activities run by the Ministry of Foreign Affairs entered a clear phase of decline."
